start_id,relation,end_name
Paul D. Boyer,WORKS_AS,biochemist
Paul D. Boyer,WORKS_AS,university teacher
Paul D. Boyer,WORKS_AS,chemist
Paul D. Boyer,WORKS_IN_FIELD,chemistry
Paul D. Boyer,WORKS_IN_FIELD,biochemistry
Paul D. Boyer,WORKS_IN_FIELD,analytical chemistry
Paul D. Boyer,EDUCATED_AT,Brigham Young University
Paul D. Boyer,EDUCATED_AT,University of Wisconsin–Madison
Paul D. Boyer,EDUCATED_AT,Provo High School
Paul D. Boyer,EMPLOYED_BY,University of California
Paul D. Boyer,EMPLOYED_BY,Los Angeles
Paul D. Boyer,EMPLOYED_BY,University of Minnesota
Paul D. Boyer,IS_MEMBER_OF,American Philosophical Society
Paul D. Boyer,IS_MEMBER_OF,American Academy of Arts and Sciences
Paul D. Boyer,IS_MEMBER_OF,National Academy of Sciences
Herbert C. Brown,RECEIVED,Q102406_1979
Q102406_1979,IS_INSTANCE_OF,Nobel Prize in Chemistry
Herbert C. Brown,IS_CITIZEN_OF,United Kingdom
Herbert C. Brown,IS_CITIZEN_OF,United States
Herbert C. Brown,WORKS_AS,university teacher
Herbert C. Brown,WORKS_AS,chemist
Herbert C. Brown,WORKS_AS,writer
Herbert C. Brown,WORKS_IN_FIELD,organic chemistry
Herbert C. Brown,EDUCATED_AT,University of Chicago
Herbert C. Brown,EDUCATED_AT,Malcolm X College
Herbert C. Brown,EDUCATED_AT,Wilbur Wright College
Herbert C. Brown,EMPLOYED_BY,University of Chicago
Herbert C. Brown,EMPLOYED_BY,Purdue University
Herbert C. Brown,EMPLOYED_BY,Wayne State University
Herbert C. Brown,IS_MEMBER_OF,American Academy of Arts and Sciences
Herbert C. Brown,IS_MEMBER_OF,National Academy of Sciences
Derek Barton,RECEIVED,Q102419_1969
Q102419_1969,IS_INSTANCE_OF,Nobel Prize in Chemistry
Derek Barton,IS_CITIZEN_OF,United Kingdom
Derek Barton,WORKS_AS,chemist
Derek Barton,WORKS_AS,university teacher
Derek Barton,WORKS_IN_FIELD,organic chemistry
Derek Barton,WORKS_IN_FIELD,stereochemistry
Derek Barton,EDUCATED_AT,Tonbridge School
Derek Barton,EDUCATED_AT,Gravesend Grammar School
Derek Barton,EDUCATED_AT,King's School
Derek Barton,EDUCATED_AT,Rochester
Derek Barton,EDUCATED_AT,Imperial College London
Derek Barton,EDUCATED_AT,University of London
Derek Barton,EMPLOYED_BY,Texas A&M University
Derek Barton,EMPLOYED_BY,Imperial College London
Derek Barton,EMPLOYED_BY,University of Glasgow
Derek Barton,EMPLOYED_BY,National Center for Scientific Research
Derek Barton,EMPLOYED_BY,Birkbeck
Derek Barton,EMPLOYED_BY,University of London
Derek Barton,EMPLOYED_BY,Harvard University
Derek Barton,IS_MEMBER_OF,Chinese Academy of Sciences
Derek Barton,IS_MEMBER_OF,Serbian Academy of Sciences and Arts
Derek Barton,IS_MEMBER_OF,German Academy of Sciences Leopoldina
Derek Barton,IS_MEMBER_OF,American Academy of Arts and Sciences
Derek Barton,IS_MEMBER_OF,National Academy of Sciences
Derek Barton,IS_MEMBER_OF,Slovenian Academy of Sciences and Arts
Derek Barton,IS_MEMBER_OF,Royal Society
Derek Barton,IS_MEMBER_OF,Royal Society of Edinburgh
Derek Barton,IS_MEMBER_OF,Russian Academy of Sciences
Derek Barton,HOLDS_POSITION,Regius Professor of Chemistry
Henri Moissan,RECEIVED,Q102804_1906
Q102804_1906,IS_INSTANCE_OF,Nobel Prize in Chemistry
Henri Moissan,IS_CITIZEN_OF,France
Henri Moissan,WORKS_AS,university teacher
Henri Moissan,WORKS_AS,chemist
Henri Moissan,WORKS_AS,pharmacist
Henri Moissan,WORKS_AS,pharmacologist
Henri Moissan,WORKS_IN_FIELD,chemistry
Henri Moissan,EDUCATED_AT,École pratique des hautes études
Henri Moissan,EMPLOYED_BY,University of Paris
Henri Moissan,EMPLOYED_BY,Sorbonne
Henri Moissan,IS_MEMBER_OF,Academy of Sciences of Turin
Henri Moissan,IS_MEMBER_OF,Royal Prussian Academy of Sciences
Henri Moissan,IS_MEMBER_OF,Académie Nationale de Médecine
Henri Moissan,IS_MEMBER_OF,Royal Netherlands Academy of Arts and Sciences
Henri Moissan,IS_MEMBER_OF,Hungarian Academy of Sciences
